name,source_name,group,dtype,unit,description,notes
ra_gal,ra_gal,coordinates,float,deg,Galaxy right ascension.,ICRS-like sky coordinate used for spatial selection.
dec_gal,dec_gal,coordinates,float,deg,Galaxy declination.,ICRS-like sky coordinate used for spatial selection.
ra_mag_gal,ra_mag_gal,coordinates,float,deg,Right ascension associated with the photometry/magnitude position.,
dec_mag_gal,dec_mag_gal,coordinates,float,deg,Declination associated with the photometry/magnitude position.,
z_true,true_redshift_halo,redshift,float,dimensionless,"True halo redshift, aliased by the download query.",Used only for diagnostics in the default workflow.
z_phz,phz_mode_1,redshift,float,dimensionless,First mode of the photometric-redshift probability distribution.,Used as fixed DSPS z_obs by the default config.
z_true_gal,true_redshift_gal,redshift,float,dimensionless,True galaxy redshift.,Preferred truth redshift for galaxy-level DSPS validation.
z_obs_gal,observed_redshift_gal,redshift,float,dimensionless,Observed galaxy redshift including peculiar velocity.,
z_deepz,zp,redshift,double,dimensionless,DeepZ mode of the p(z) distribution.,
redshift_step,redshift_step,redshift,smallint,index,Redshift step from the Flagship DM lensing healpix maps.,
phz_flags,phz_flags,redshift,tinyint,flag,NNPZ photometric-redshift quality flag.,0 means no known issue; 1 means insufficient neighbours for robust photo-z.
phz_median,phz_median,redshift,float,dimensionless,NNPZ median of the photometric-redshift PDF.,Used as the default DSPS redshift estimate in the updated configs.
phz_min_70,phz_min_70,redshift,float,dimensionless,Lower edge of the NNPZ 70 percent PDF interval.,
phz_max_70,phz_max_70,redshift,float,dimensionless,Upper edge of the NNPZ 70 percent PDF interval.,
phz_min_90,phz_min_90,redshift,float,dimensionless,Lower edge of the NNPZ 90 percent PDF interval.,
phz_max_90,phz_max_90,redshift,float,dimensionless,Upper edge of the NNPZ 90 percent PDF interval.,
phz_min_95,phz_min_95,redshift,float,dimensionless,Lower edge of the NNPZ 95 percent PDF interval.,
phz_max_95,phz_max_95,redshift,float,dimensionless,Upper edge of the NNPZ 95 percent PDF interval.,
phz_mode_1_area,phz_mode_1_area,redshift,float,probability,Total PDF area of the first NNPZ photo-z mode.,
phz_mode_2,phz_mode_2,redshift,float,dimensionless,Second mode of the NNPZ photo-z PDF when present.,
phz_mode_2_area,phz_mode_2_area,redshift,float,probability,Total PDF area of the second NNPZ photo-z mode.,
sed_cosmos_1,sed_cosmos_1,SED latent,int8,index,Primary COSMOS SED template identifier in the COSMOS_MOD.list order.,ID range is 0--30 for the 31 local LePhare COSMOS templates.
sed_cosmos_2,sed_cosmos_2,SED latent,int8,index,Secondary COSMOS SED template identifier in the COSMOS_MOD.list order.,Used for two-component COSMOS proxy SED reconstruction.
frac_cosmos_1,frac_cosmos_1,SED latent,float,fraction,Fractional contribution of COSMOS SED component 1.,"Optional in current local parquet. If absent, the configured reconstruction policy is explicit."
frac_cosmos_2,frac_cosmos_2,SED latent,float,fraction,Fractional contribution of COSMOS SED component 2.,Optional in current local parquet. Fractions are normalized internally when their finite sum is positive.
color_kind,color_kind,SED latent,int8,category,"HOD-based color class: 0 red sequence, 1 green valley, 2 blue cloud.",Used for grouped COSMOS-vs-DSPS diagnostics.
euclid_vis,euclid_vis,photometry,float,erg s^-1 cm^-2 Hz^-1,Simulated Euclid VIS flux density.,Project config interprets this as Fnu in cgs units.
euclid_nisp_y,euclid_nisp_y,photometry,float,erg s^-1 cm^-2 Hz^-1,Simulated Euclid NISP Y-band flux density.,
euclid_nisp_j,euclid_nisp_j,photometry,float,erg s^-1 cm^-2 Hz^-1,Simulated Euclid NISP J-band flux density.,
