model,group,dimensions,parameters,num_objects,num_posterior_samples,num_regions,score,ideal_score,delta_from_ideal,theoretical_variance,theoretical_sigma,mira_std,region_mc_std,bootstrap_mean,bootstrap_std,bootstrap_q025,bootstrap_q16,bootstrap_q84,bootstrap_q975,group_seed,bootstrap_seed
raw_q,full_15d,15,"z_obs,log10_stellar_mass,log10_stellar_metallicity,dust_av,dust_delta,sfh_dlog_sfr_01,sfh_dlog_sfr_02,sfh_dlog_sfr_03,sfh_dlog_sfr_04,sfh_dlog_sfr_05,sfh_dlog_sfr_06,sfh_dlog_sfr_07,sfh_dlog_sfr_08,sfh_dlog_sfr_09,sfh_dlog_sfr_10",512,128,100,0.5080342120976531,0.6666666666666666,-0.15863245456901354,0.00010850694444444444,0.010416666666666666,0.012301429632291607,0.012301429632291607,0.507824647887888,0.012682239740198598,0.4852645892100952,0.49452209656880086,0.5203588886572379,0.5325988789372105,26060182,4250829252
raw_iw,full_15d,15,"z_obs,log10_stellar_mass,log10_stellar_metallicity,dust_av,dust_delta,sfh_dlog_sfr_01,sfh_dlog_sfr_02,sfh_dlog_sfr_03,sfh_dlog_sfr_04,sfh_dlog_sfr_05,sfh_dlog_sfr_06,sfh_dlog_sfr_07,sfh_dlog_sfr_08,sfh_dlog_sfr_09,sfh_dlog_sfr_10",512,128,100,0.445148164500103,0.6666666666666666,-0.2215185021665636,0.00010850694444444444,0.010416666666666666,0.01292907361789846,0.01292907361789846,0.4449293076877643,0.012632829188560565,0.4204097763464219,0.4320806900861885,0.45746826342295205,0.4695777910559542,26060182,4250829252
ema_q,full_15d,15,"z_obs,log10_stellar_mass,log10_stellar_metallicity,dust_av,dust_delta,sfh_dlog_sfr_01,sfh_dlog_sfr_02,sfh_dlog_sfr_03,sfh_dlog_sfr_04,sfh_dlog_sfr_05,sfh_dlog_sfr_06,sfh_dlog_sfr_07,sfh_dlog_sfr_08,sfh_dlog_sfr_09,sfh_dlog_sfr_10",512,128,100,0.502936708416554,0.6666666666666666,-0.1637299582501126,0.00010850694444444444,0.010416666666666666,0.013247566569983363,0.013247566569983363,0.5026721057544354,0.01273889776558491,0.4790020006857887,0.4899017352234637,0.5150396747702348,0.5286598225260519,26060182,4250829252
ema_iw,full_15d,15,"z_obs,log10_stellar_mass,log10_stellar_metallicity,dust_av,dust_delta,sfh_dlog_sfr_01,sfh_dlog_sfr_02,sfh_dlog_sfr_03,sfh_dlog_sfr_04,sfh_dlog_sfr_05,sfh_dlog_sfr_06,sfh_dlog_sfr_07,sfh_dlog_sfr_08,sfh_dlog_sfr_09,sfh_dlog_sfr_10",512,128,100,0.4446212785118121,0.6666666666666666,-0.22204538815485453,0.00010850694444444444,0.010416666666666666,0.012099007668577693,0.012099007668577693,0.44486482404494593,0.013555980709286881,0.41967430271086953,0.43073059242490896,0.4581933610819033,0.4714813249985923,26060182,4250829252
raw_q,physical_5d,5,"z_obs,log10_stellar_mass,log10_stellar_metallicity,dust_av,dust_delta",512,128,100,0.6606451440626574,0.6666666666666666,-0.006021522604009233,0.00010850694444444444,0.010416666666666666,0.010438714683082988,0.010438714683082988,0.6612741723853133,0.010362834474171596,0.640581514837524,0.6513061547700545,0.6711090112891384,0.6823440577177109,505728251,260418690
raw_iw,physical_5d,5,"z_obs,log10_stellar_mass,log10_stellar_metallicity,dust_av,dust_delta",512,128,100,0.6113021873358718,0.6666666666666666,-0.0553644793307948,0.00010850694444444444,0.010416666666666666,0.012188301694411123,0.012188301694411123,0.6116982139486753,0.012295534026893776,0.5876556418376253,0.5991448996929262,0.6241174339656436,0.6347866081997253,505728251,260418690
ema_q,physical_5d,5,"z_obs,log10_stellar_mass,log10_stellar_metallicity,dust_av,dust_delta",512,128,100,0.6582788110460297,0.6666666666666666,-0.00838785562063693,0.00010850694444444444,0.010416666666666666,0.00968566028104144,0.00968566028104144,0.6581716943464119,0.01069104925791115,0.6371913933649338,0.6473419213568491,0.6687670923351016,0.6783462549684429,505728251,260418690
ema_iw,physical_5d,5,"z_obs,log10_stellar_mass,log10_stellar_metallicity,dust_av,dust_delta",512,128,100,0.6168513511749034,0.6666666666666666,-0.04981531549176321,0.00010850694444444444,0.010416666666666666,0.010102736531571305,0.010102736531571305,0.617598101055615,0.01235215225809907,0.5939880393221528,0.6060943626094399,0.6296093773454777,0.6413734459928179,505728251,260418690
raw_q,sfh_contrasts_10d,10,"sfh_dlog_sfr_01,sfh_dlog_sfr_02,sfh_dlog_sfr_03,sfh_dlog_sfr_04,sfh_dlog_sfr_05,sfh_dlog_sfr_06,sfh_dlog_sfr_07,sfh_dlog_sfr_08,sfh_dlog_sfr_09,sfh_dlog_sfr_10",512,128,100,0.504060823410976,0.6666666666666666,-0.1626058432556906,0.00010850694444444444,0.010416666666666666,0.01233148344774257,0.01233148344774257,0.5043465747548139,0.012626827821007337,0.479785158037339,0.4919689959733523,0.5170306415745267,0.5304584522934945,3769524993,3869865740
raw_iw,sfh_contrasts_10d,10,"sfh_dlog_sfr_01,sfh_dlog_sfr_02,sfh_dlog_sfr_03,sfh_dlog_sfr_04,sfh_dlog_sfr_05,sfh_dlog_sfr_06,sfh_dlog_sfr_07,sfh_dlog_sfr_08,sfh_dlog_sfr_09,sfh_dlog_sfr_10",512,128,100,0.4439628617613124,0.6666666666666666,-0.22270380490535424,0.00010850694444444444,0.010416666666666666,0.013002913715979544,0.013002913715979544,0.4440146806091617,0.013294031638603895,0.4183326736775513,0.4305017105881188,0.4572259538517369,0.4700325029717106,3769524993,3869865740
ema_q,sfh_contrasts_10d,10,"sfh_dlog_sfr_01,sfh_dlog_sfr_02,sfh_dlog_sfr_03,sfh_dlog_sfr_04,sfh_dlog_sfr_05,sfh_dlog_sfr_06,sfh_dlog_sfr_07,sfh_dlog_sfr_08,sfh_dlog_sfr_09,sfh_dlog_sfr_10",512,128,100,0.5046246356689358,0.6666666666666666,-0.16204203099773085,0.00010850694444444444,0.010416666666666666,0.012747120524054316,0.012747120524054316,0.5051034564715008,0.012790991004837167,0.4813373583605042,0.4922161883570857,0.5177191181395915,0.530214311667585,3769524993,3869865740
ema_iw,sfh_contrasts_10d,10,"sfh_dlog_sfr_01,sfh_dlog_sfr_02,sfh_dlog_sfr_03,sfh_dlog_sfr_04,sfh_dlog_sfr_05,sfh_dlog_sfr_06,sfh_dlog_sfr_07,sfh_dlog_sfr_08,sfh_dlog_sfr_09,sfh_dlog_sfr_10",512,128,100,0.44281326458906106,0.6666666666666666,-0.22385340207760557,0.00010850694444444444,0.010416666666666666,0.011301597251230394,0.011301597251230394,0.4425617234504287,0.013097521751564508,0.41825027621630684,0.4297009293351357,0.45583313158092326,0.4682655351916907,3769524993,3869865740
raw_q,marginal_z_obs,1,z_obs,512,128,100,0.6620593286382381,0.6666666666666666,-0.004607338028428498,0.00010850694444444444,0.010416666666666666,0.009207926997477052,0.009207926997477052,0.661899996362254,0.011133694647275085,0.6408432030709207,0.6506781030099024,0.6728637720378629,0.684178164169856,555490864,2087096183
raw_iw,marginal_z_obs,1,z_obs,512,128,100,0.6326216149055273,0.6666666666666666,-0.03404505176113937,0.00010850694444444444,0.010416666666666666,0.009747691653477752,0.009747691653477752,0.6326168389045329,0.011827730489259386,0.6081192039255768,0.621176149774999,0.6437554955622385,0.6548950219709241,555490864,2087096183
ema_q,marginal_z_obs,1,z_obs,512,128,100,0.6615863061755385,0.6666666666666666,-0.005080360491128144,0.00010850694444444444,0.010416666666666666,0.009308558980926413,0.009308558980926413,0.6620428796635676,0.011082541978979852,0.6397987389557016,0.6512988305512772,0.6728692652019458,0.6853675867817088,555490864,2087096183
ema_iw,marginal_z_obs,1,z_obs,512,128,100,0.6307011437069667,0.6666666666666666,-0.0359655229596999,0.00010850694444444444,0.010416666666666666,0.010562593639727934,0.010562593639727934,0.6305511040335562,0.011962085946705935,0.6078651450867397,0.6183990501552785,0.642613527784547,0.6540683770703837,555490864,2087096183
raw_q,marginal_log10_stellar_mass,1,log10_stellar_mass,512,128,100,0.6316783165621694,0.6666666666666666,-0.03498835010449719,0.00010850694444444444,0.010416666666666666,0.00991641705448402,0.00991641705448402,0.6325118889529702,0.010668390694464779,0.6117355369468612,0.6221746849349689,0.6436157250539054,0.6530654931555148,3520085467,210517195
raw_iw,marginal_log10_stellar_mass,1,log10_stellar_mass,512,128,100,0.6041079734418838,0.6666666666666666,-0.0625586932247828,0.00010850694444444444,0.010416666666666666,0.011212530535782611,0.011212530535782611,0.6042751487354754,0.012465547109444992,0.580228044764057,0.5918530295485743,0.6163940452649967,0.6289524101799444,3520085467,210517195
ema_q,marginal_log10_stellar_mass,1,log10_stellar_mass,512,128,100,0.6418232750960562,0.6666666666666666,-0.02484339157061044,0.00010850694444444444,0.010416666666666666,0.010653019224893688,0.010653019224893688,0.6420830712396021,0.01099569106829698,0.620129396841412,0.6310528587961676,0.6530017114169959,0.6626331354030711,3520085467,210517195
ema_iw,marginal_log10_stellar_mass,1,log10_stellar_mass,512,128,100,0.609944002516359,0.6666666666666666,-0.05672266415030758,0.00010850694444444444,0.010416666666666666,0.0114353798742307,0.0114353798742307,0.6100145438984578,0.012487478160965888,0.5864376089961738,0.5972094748810286,0.6222302269273632,0.6344482445510039,3520085467,210517195
raw_q,marginal_log10_stellar_metallicity,1,log10_stellar_metallicity,512,128,100,0.6730551172534195,0.6666666666666666,0.0063884505867528585,0.00010850694444444444,0.010416666666666666,0.00890971554154044,0.00890971554154044,0.6729305902754166,0.01019072081709005,0.6524978662002752,0.6626947046171676,0.6828967310596136,0.6914978053104051,3448579049,1655843008
raw_iw,marginal_log10_stellar_metallicity,1,log10_stellar_metallicity,512,128,100,0.6504531884582831,0.6666666666666666,-0.01621347820838348,0.00010850694444444444,0.010416666666666666,0.0123084568605265,0.0123084568605265,0.6502440514946135,0.011625024929398962,0.62798462148005,0.6388678002315306,0.6620172143802688,0.6730716730396139,3448579049,1655843008
ema_q,marginal_log10_stellar_metallicity,1,log10_stellar_metallicity,512,128,100,0.6764323450492037,0.6666666666666666,0.009765678382537057,0.00010850694444444444,0.010416666666666666,0.009453704208581479,0.009453704208581479,0.6765955988339916,0.010214179577806941,0.656081774294681,0.6666326929130878,0.6868615748243837,0.6963047053527263,3448579049,1655843008
ema_iw,marginal_log10_stellar_metallicity,1,log10_stellar_metallicity,512,128,100,0.6461251855124727,0.6666666666666666,-0.020541481154193963,0.00010850694444444444,0.010416666666666666,0.008500282731998687,0.008500282731998687,0.6462885613675735,0.011839229199265163,0.6212268852488207,0.6347808861538056,0.6579510522557461,0.6689186121110566,3448579049,1655843008
raw_q,marginal_dust_av,1,dust_av,512,128,100,0.6518547082388949,0.6666666666666666,-0.014811958427771721,0.00010850694444444444,0.010416666666666666,0.010720712205490451,0.010720712205490451,0.6518393273794626,0.01122786634441002,0.6285152458716752,0.6404394555108229,0.6634088159479529,0.6724937464017188,1871156111,248765195
raw_iw,marginal_dust_av,1,dust_av,512,128,100,0.6185862754977728,0.6666666666666666,-0.04808039116889384,0.00010850694444444444,0.010416666666666666,0.012680524215331185,0.012680524215331185,0.618860170762465,0.01226818818411191,0.5941123984534755,0.6064300559700655,0.6309381127019901,0.6426616692642184,1871156111,248765195
ema_q,marginal_dust_av,1,dust_av,512,128,100,0.655133974608533,0.6666666666666666,-0.011532692058133676,0.00010850694444444444,0.010416666666666666,0.010686600345925197,0.010686600345925197,0.6548892083722696,0.01096893763317506,0.6335922264814087,0.6436566186087452,0.6658575464258252,0.6760742212685728,1871156111,248765195
ema_iw,marginal_dust_av,1,dust_av,512,128,100,0.6157753013662074,0.6666666666666666,-0.050891365300459235,0.00010850694444444444,0.010416666666666666,0.011179696277211472,0.011179696277211472,0.6155638298078024,0.012630032625442935,0.5914882681946765,0.6027429221672673,0.6280975365195332,0.6401401543622469,1871156111,248765195
